split,split_filename,config_i,context,dropout,ensemble_size,features,learning_rate,merge_method,n_hidden,n_units,residual_depth,data,cache,labels,structure_column,epochs,batch_size,val_data,rmse,pearson_r,spearman_rho,model_class,n_parameters
test,data/train/test/data.csv,278,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.202146053314209,0.8096018700928536,0.8029461714757565,bilinear-fp,3124923
training,data/train/train/data.csv,279,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2151490449905396,0.7633347198985818,0.7335119093688154,bilinear-fp,394275
validation,data/train/validation/data.csv,279,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.314747929573059,0.6788755741099832,0.5516329438061524,bilinear-fp,394275
test,data/train/test/data.csv,279,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4196760654449463,0.7219214869103334,0.7092274222721718,bilinear-fp,394275
training,data/train/train/data.csv,27,,0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9528419971466064,0.21102030763988563,0.19646797163867116,bilinear-fp,108435
validation,data/train/validation/data.csv,27,,0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.5251585245132446,0.15047364019807305,0.23919598224837518,bilinear-fp,108435
test,data/train/test/data.csv,27,,0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.2043542861938477,0.25190646996991856,0.25023539854206805,bilinear-fp,108435
training,data/train/train/data.csv,280,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0943268537521362,0.8137371691452703,0.7767813419695415,bilinear-fp,579411
validation,data/train/validation/data.csv,280,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2239148616790771,0.7563494168666698,0.5745584292602547,bilinear-fp,579411
test,data/train/test/data.csv,280,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2840758562088013,0.7812681873346502,0.7592957436158537,bilinear-fp,579411
training,data/train/train/data.csv,281,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2137428522109985,0.7641907842937183,0.7330315600090286,bilinear-fp,582723
validation,data/train/validation/data.csv,281,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2915302515029907,0.7064475714469031,0.5490677918093245,bilinear-fp,582723
test,data/train/test/data.csv,281,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4173229932785034,0.7233159155498667,0.7082529158199536,bilinear-fp,582723
training,data/train/train/data.csv,282,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.081668496131897,0.8183425041304152,0.7914968278224827,bilinear-fp,3037755
validation,data/train/validation/data.csv,282,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1957441568374634,0.751798840296469,0.6009548848743868,bilinear-fp,3037755
test,data/train/test/data.csv,282,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2664666175842285,0.787767133673297,0.7747427594200086,bilinear-fp,3037755
training,data/train/train/data.csv,283,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9036325216293335,0.8771838989829709,0.8673346146950939,bilinear-fp,3231291
validation,data/train/validation/data.csv,283,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1189438104629517,0.7815528626964104,0.6361975696018756,bilinear-fp,3231291
test,data/train/test/data.csv,283,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0997765064239502,0.8443529546752214,0.8373962161508897,bilinear-fp,3231291
training,data/train/train/data.csv,284,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8930991291999817,0.8803356437130483,0.8696930315025845,bilinear-fp,3245691
validation,data/train/validation/data.csv,284,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1421897411346436,0.7759055515211334,0.6437292372168603,bilinear-fp,3245691
test,data/train/test/data.csv,284,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0909850597381592,0.8470817998798439,0.840337788623256,bilinear-fp,3245691
training,data/train/train/data.csv,285,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8938146829605103,0.8798922598202579,0.8707061647067691,bilinear-fp,6151035
validation,data/train/validation/data.csv,285,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1053874492645264,0.7845260359895866,0.6362440540644495,bilinear-fp,6151035
test,data/train/test/data.csv,285,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0906808376312256,0.846950957338215,0.8400762310076652,bilinear-fp,6151035
training,data/train/train/data.csv,286,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8867250680923462,0.8821459438877645,0.8741079992613636,bilinear-fp,6354171
validation,data/train/validation/data.csv,286,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1049610376358032,0.7787800803977283,0.6343283123333301,bilinear-fp,6354171
test,data/train/test/data.csv,286,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0917470455169678,0.8470862863544564,0.8402463808970464,bilinear-fp,6354171
training,data/train/train/data.csv,287,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8645811080932617,0.8879922897951428,0.880584938294895,bilinear-fp,6381243
validation,data/train/validation/data.csv,287,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1431742906570435,0.7750208996407338,0.6450260063585694,bilinear-fp,6381243
test,data/train/test/data.csv,287,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0730324983596802,0.8516379834383094,0.8459110456788236,bilinear-fp,6381243
training,data/train/train/data.csv,288,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8510396480560303,0.17540318532043492,0.15975824083305412,bilinear-fp,172803
validation,data/train/validation/data.csv,288,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6562061309814453,0.17725610108232712,0.1789940991832983,bilinear-fp,172803
test,data/train/test/data.csv,288,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.028294563293457,0.2024856489548195,0.19791257638250603,bilinear-fp,172803
training,data/train/train/data.csv,289,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8241565227508545,0.2412248092425291,0.2191863392931045,bilinear-fp,350739
validation,data/train/validation/data.csv,289,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.601261854171753,0.258338589209808,0.2553173393871693,bilinear-fp,350739
test,data/train/test/data.csv,289,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0085864067077637,0.24040496898080155,0.2275050433602005,bilinear-fp,350739
training,data/train/train/data.csv,28,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.840466022491455,0.20910940506462392,0.1938142911866875,bilinear-fp,219315
validation,data/train/validation/data.csv,28,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.674185872077942,0.1883730284912786,0.25507536310658935,bilinear-fp,219315
test,data/train/test/data.csv,28,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0139005184173584,0.25221074565753665,0.2481315231357003,bilinear-fp,219315
training,data/train/train/data.csv,290,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8112307786941528,0.2676475909710949,0.2437061677378997,bilinear-fp,357363
validation,data/train/validation/data.csv,290,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6266398429870605,0.22411402078472692,0.2191681747652793,bilinear-fp,357363
test,data/train/test/data.csv,290,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.003826856613159,0.24580618936136328,0.2358760653268999,bilinear-fp,357363
training,data/train/train/data.csv,291,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8011614084243774,0.28623103898724933,0.2621788831619517,bilinear-fp,1414659
validation,data/train/validation/data.csv,291,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6325032711029053,0.22018232768670212,0.23413721975347235,bilinear-fp,1414659
test,data/train/test/data.csv,291,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9959125518798828,0.25104659752414954,0.24295268374480644,bilinear-fp,1414659
training,data/train/train/data.csv,292,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8093619346618652,0.2713543446422795,0.24753164102360226,bilinear-fp,1609395
validation,data/train/validation/data.csv,292,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.642094373703003,0.2069975851833078,0.21333305282726786,bilinear-fp,1609395
test,data/train/test/data.csv,292,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9981991052627563,0.2508886305436008,0.2421322626204345,bilinear-fp,1609395
training,data/train/train/data.csv,293,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.803663969039917,0.28372141258225825,0.2598721705161345,bilinear-fp,1638195
validation,data/train/validation/data.csv,293,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6997015476226807,0.15033329504361095,0.17601263374591117,bilinear-fp,1638195
test,data/train/test/data.csv,293,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9923025369644165,0.2546783355250088,0.2427592016046921,bilinear-fp,1638195
training,data/train/train/data.csv,294,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7998772859573364,0.28861938476816695,0.2641385137964085,bilinear-fp,2903043
validation,data/train/validation/data.csv,294,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6286107301712036,0.21693865086525857,0.233013085646024,bilinear-fp,2903043
test,data/train/test/data.csv,294,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.996638298034668,0.2544098111078789,0.2466703252075599,bilinear-fp,2903043
training,data/train/train/data.csv,295,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.803209900856018,0.28280106768303387,0.25850058286650274,bilinear-fp,3116979
validation,data/train/validation/data.csv,295,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6449843645095825,0.1920736027391378,0.20721171109676534,bilinear-fp,3116979
test,data/train/test/data.csv,295,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9970219135284424,0.2543291969622595,0.24599389842813027,bilinear-fp,3116979
training,data/train/train/data.csv,296,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.803379774093628,0.28427615490565006,0.2610150986644529,bilinear-fp,3171123
validation,data/train/validation/data.csv,296,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6811673641204834,0.17195371462207984,0.19164995660727305,bilinear-fp,3171123
test,data/train/test/data.csv,296,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9910169839859009,0.25813248221798074,0.24572453473843972,bilinear-fp,3171123
training,data/train/train/data.csv,297,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.852004051208496,0.17218024889809486,0.1562374246421549,bilinear-fp,172803
validation,data/train/validation/data.csv,297,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6730318069458008,0.1575747738345106,0.1612165524307089,bilinear-fp,172803
test,data/train/test/data.csv,297,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.028648853302002,0.19943474966998695,0.19555921088620026,bilinear-fp,172803
training,data/train/train/data.csv,298,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.810971975326538,0.26810305403652707,0.244315942075327,bilinear-fp,350739
validation,data/train/validation/data.csv,298,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6155662536621094,0.24134054653509088,0.24733108931798886,bilinear-fp,350739
test,data/train/test/data.csv,298,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0008959770202637,0.24988775594103738,0.24001387852237338,bilinear-fp,350739
training,data/train/train/data.csv,299,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.818314790725708,0.2540446477850368,0.23196196316252723,bilinear-fp,357363
validation,data/train/validation/data.csv,299,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6382534503936768,0.20973343935333044,0.2025084239844716,bilinear-fp,357363
test,data/train/test/data.csv,299,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.006364345550537,0.24249844668656484,0.23031917318939185,bilinear-fp,357363
training,data/train/train/data.csv,29,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.839261531829834,0.2107071413200718,0.19528954560410872,bilinear-fp,222627
validation,data/train/validation/data.csv,29,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6698004007339478,0.18845518906960432,0.2512912106740808,bilinear-fp,222627
test,data/train/test/data.csv,29,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0126585960388184,0.2531645993041433,0.24841868079786203,bilinear-fp,222627
training,data/train/train/data.csv,2,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8449170589447021,0.19193286600347464,0.17537192317788042,bilinear-fp,203427
validation,data/train/validation/data.csv,2,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.490780234336853,0.35001565631494447,0.3771760025663534,bilinear-fp,203427
test,data/train/test/data.csv,2,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0149855613708496,0.24266962448923662,0.22821980411198817,bilinear-fp,203427
training,data/train/train/data.csv,300,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8065751791000366,0.276499553432435,0.2527421726216031,bilinear-fp,1414659
validation,data/train/validation/data.csv,300,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6294889450073242,0.2157032623728472,0.225776377332895,bilinear-fp,1414659
test,data/train/test/data.csv,300,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0002739429473877,0.25023211874128015,0.24102372228398025,bilinear-fp,1414659
training,data/train/train/data.csv,301,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8048772811889648,0.27967988580647396,0.25550167968949045,bilinear-fp,1609395
validation,data/train/validation/data.csv,301,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.649442434310913,0.19225071987680065,0.20429068403929893,bilinear-fp,1609395
test,data/train/test/data.csv,301,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.998975396156311,0.25055454676537675,0.24210520431170485,bilinear-fp,1609395
training,data/train/train/data.csv,302,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8099130392074585,0.27234198793834913,0.25035501630507523,bilinear-fp,1638195
validation,data/train/validation/data.csv,302,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6993578672409058,0.13842900103328815,0.16302441641842366,bilinear-fp,1638195
test,data/train/test/data.csv,302,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.000692129135132,0.24490652594129517,0.23336013011161127,bilinear-fp,1638195
training,data/train/train/data.csv,303,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8004176616668701,0.28751649669201157,0.2632058442925541,bilinear-fp,2903043
validation,data/train/validation/data.csv,303,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6381471157073975,0.2135265490028933,0.23322967934091035,bilinear-fp,2903043
test,data/train/test/data.csv,303,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9947887659072876,0.2538533025496151,0.2458419028935986,bilinear-fp,2903043
training,data/train/train/data.csv,304,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.804544448852539,0.28047814555906003,0.25680495299968287,bilinear-fp,3116979
validation,data/train/validation/data.csv,304,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6656363010406494,0.17490845339938976,0.18910138751364627,bilinear-fp,3116979
test,data/train/test/data.csv,304,,0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9958418607711792,0.25197803929056806,0.2428844320733066,bilinear-fp,3116979
